age,county_name,N_patients,pct_pcv,suppressed,fips
age_1_2y,"SANDIEGO,CA",7047,66.7,0,06073
age_1_2y,"FRESNO,CA",5606,58.3,0,06019
age_1_2y,"LOSANGELES,CA",4551,58.7,0,06037
age_1_2y,"COBB,GA",4165,67.8,0,13067
age_1_2y,"ALAMEDA,CA",3845,73.4,0,06001
age_1_2y,"MONROE,NY",3539,68.4,0,36055
age_1_2y,"KINGS,NY",3961,43.5,0,36047
age_1_2y,"FULTON,GA",3867,59.8,0,13121
age_1_2y,"RIVERSIDE,CA",3747,55.4,0,06065
age_1_2y,"DENVER,CO",3780,80.1,0,08031
age_1_2y,"SANTACLARA,CA",3366,76.2,0,06085
age_1_2y,"HENNEPIN,MN",3067,59,0,27053
age_1_2y,"MULTNOMAH,OR",3310,68,0,41051
age_1_2y,"ELPASO,CO",3432,43.7,0,08041
age_1_2y,"ORANGE,CA",3557,66.8,0,06059
age_1_2y,"ARAPAHOE,CO",3381,72.9,0,08005
age_1_2y,"SANBERNARDINO,CA",3074,57.3,0,06071
age_1_2y,"CONTRACOSTA,CA",2704,73.1,0,06013
age_1_2y,"HARTFORD,CT",2303,67.3,0,09003
age_1_2y,"DEKALB,GA",2766,58.7,0,13089
age_1_2y,"GWINNETT,GA",2479,54.2,0,13135
age_1_2y,"WASHINGTON,OR",2504,77.2,0,41067
age_1_2y,"ADAMS,CO",2372,75,0,08001
age_1_2y,"SUFFOLK,NY",2171,51.2,0,36103
age_1_2y,"WELD,CO",2376,72.6,0,08123
age_1_2y,"QUEENS,NY",2135,49.3,0,36081
age_1_2y,"SANMATEO,CA",1900,81.5,0,06081
age_1_2y,"NASSAU,NY",2012,51.3,0,36059
age_1_2y,"RAMSEY,MN",1844,74,0,27123
age_1_2y,"KERN,CA",1861,59.7,0,06029
age_1_2y,"MONTEREY,CA",1895,79.3,0,06053
age_1_2y,"SANFRANCISCO,CA",1851,66.5,0,06075
age_1_2y,"LARIMER,CO",1859,74,0,08069
age_1_2y,"CLACKAMAS,OR",1714,66.1,0,41005
age_1_2y,"HALL,GA",1873,54.6,0,13139
age_1_2y,"JEFFERSON,CO",1768,75.4,0,08059
age_1_2y,"DESCHUTES,OR",1584,55.7,0,41017
age_1_2y,"STEARNS,MN",1479,54.2,0,27145
age_1_2y,"SACRAMENTO,CA",1501,62.8,0,06067
age_1_2y,"BALTIMORECITY,MD",1557,73.1,0,24510
age_1_2y,"BOULDER,CO",1508,71.9,0,08013
age_1_2y,"BROOME,NY",1342,62.1,0,36007
age_1_2y,"BALTIMORE,MD",1366,67,0,24005
age_1_2y,"HAMILTON,TN",1451,47,0,47065
age_1_2y,"SONOMA,CA",1241,79,0,06097
age_1_2y,"ANOKA,MN",1190,66.7,0,27003
age_1_2y,"ALBANY,NY",1318,65.2,0,36001
age_1_2y,"CHEROKEE,GA",1211,56.1,0,13057
age_1_2y,"DAKOTA,MN",1129,59.9,0,27037
age_1_2y,"DOUGLAS,CO",1114,71,0,08035
age_1_2y,"NEWYORK,NY",1164,49.7,0,36061
age_1_2y,"SAINTLOUIS,MN",958,64.2,0,NA
age_1_2y,"PAULDING,GA",1052,62.3,0,13223
age_1_2y,"NEWHAVEN,CT",858,56.8,0,09009
age_1_2y,"LINN,OR",956,69.9,0,41043
age_1_2y,"DOUGLAS,GA",936,67.3,0,13097
age_1_2y,"CLAYTON,GA",837,58.5,0,13063
age_1_2y,"NEWLONDON,CT",671,61.8,0,09011
age_1_2y,"MADERA,CA",772,55.4,0,06039
age_1_2y,"WASHINGTON,MN",718,74.4,0,27163
age_1_2y,"HENRY,GA",731,52.9,0,13151
age_1_2y,"CLAY,MN",621,73.1,0,27027
age_1_2y,"SANJOAQUIN,CA",737,41.9,0,06077
age_1_2y,"SOLANO,CA",732,65.8,0,06095
age_1_2y,"MARIN,CA",584,64.9,0,06041
age_1_2y,"MARION,OR",683,54.8,0,41047
age_1_2y,"STEUBEN,NY",594,66.3,0,36101
age_1_2y,"TULARE,CA",656,45.3,0,06107
age_1_2y,"ONTARIO,NY",596,73.3,0,36069
age_1_2y,"MERCED,CA",606,50.5,0,06047
age_1_2y,"MIDDLESEX,CT",519,72.3,0,09007
age_1_2y,"ONONDAGA,NY",543,75.1,0,36067
age_1_2y,"RENSSELAER,NY",605,59.3,0,36083
