county_name,age,pct_pcv
"BIG STONE, MN",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,100%
,? 3 and < 4,-
,"Total: Total includes all data under the BIG STONE, MN bucket, including data from rows not currently displayed.",28.4%
"CLATSOP, OR",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,-
,? 3 and < 4,-
,"Total: Total includes all data under the CLATSOP, OR bucket, including data from rows not currently displayed.",28.1%
"GILPIN, CO",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,-
,? 3 and < 4,-
,"Total: Total includes all data under the GILPIN, CO bucket, including data from rows not currently displayed.",29.6%
"HUERFANO, CO",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,-
,? 3 and < 4,-
,"Total: Total includes all data under the HUERFANO, CO bucket, including data from rows not currently displayed.",-
"OLMSTED, MN",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,-
,? 3 and < 4,92.9%
,"Total: Total includes all data under the OLMSTED, MN bucket, including data from rows not currently displayed.",35.8%
"YUMA, CO",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,-
,? 3 and < 4,-
,"Total: Total includes all data under the YUMA, CO bucket, including data from rows not currently displayed.",40.7%
"DOUGLAS, OR",Less than 1,47.2%
,? 1 and < 2,91.3%
,? 2 and < 3,75.9%
,? 3 and < 4,84.2%
,"Total: Total includes all data under the DOUGLAS, OR bucket, including data from rows not currently displayed.",25.6%
"ISANTI, MN",Less than 1,55.4%
,? 1 and < 2,78.5%
,? 2 and < 3,88.6%
,? 3 and < 4,94.2%
,"Total: Total includes all data under the ISANTI, MN bucket, including data from rows not currently displayed.",30.5%
"MARSHALL, MN",Less than 1,59.6%
,? 1 and < 2,84.5%
,? 2 and < 3,88.7%
,? 3 and < 4,89.7%
,"Total: Total includes all data under the MARSHALL, MN bucket, including data from rows not currently displayed.",23.4%
"MESA, CO",Less than 1,50.4%
,? 1 and < 2,55.9%
,? 2 and < 3,72.7%
,? 3 and < 4,83.7%
,"Total: Total includes all data under the MESA, CO bucket, including data from rows not currently displayed.",27.5%
"EAGLE, CO",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,100%
,? 3 and < 4,-
,"Total: Total includes all data under the EAGLE, CO bucket, including data from rows not currently displayed.",33.3%
"GOODHUE, MN",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,-
,? 3 and < 4,-
,"Total: Total includes all data under the GOODHUE, MN bucket, including data from rows not currently displayed.",24.8%
"LAC QUI PARLE, MN",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,91.7%
,? 3 and < 4,-
,"Total: Total includes all data under the LAC QUI PARLE, MN bucket, including data from rows not currently displayed.",31.1%
"PINE, MN",Less than 1,64.5%
,? 1 and < 2,93.3%
,? 2 and < 3,85.9%
,? 3 and < 4,97.1%
,"Total: Total includes all data under the PINE, MN bucket, including data from rows not currently displayed.",33.2%
"MALHEUR, OR",Less than 1,74.3%
,? 1 and < 2,91%
,? 2 and < 3,91.4%
,? 3 and < 4,95.2%
,"Total: Total includes all data under the MALHEUR, OR bucket, including data from rows not currently displayed.",32.4%
"ROCK, MN",Less than 1,65.9%
,? 1 and < 2,88.2%
,? 2 and < 3,89.8%
,? 3 and < 4,93.3%
,"Total: Total includes all data under the ROCK, MN bucket, including data from rows not currently displayed.",18.8%
"MAHNOMEN, MN",Less than 1,58.1%
,? 1 and < 2,75.7%
,? 2 and < 3,95.9%
,? 3 and < 4,97.8%
,"Total: Total includes all data under the MAHNOMEN, MN bucket, including data from rows not currently displayed.",27.9%
"MOFFAT, CO",Less than 1,68.2%
,? 1 and < 2,83.1%
,? 2 and < 3,83.2%
,? 3 and < 4,91.6%
,"Total: Total includes all data under the MOFFAT, CO bucket, including data from rows not currently displayed.",30.6%
"MORROW, OR",Less than 1,78.8%
,? 1 and < 2,92.5%
,? 2 and < 3,96.9%
,? 3 and < 4,98.6%
,"Total: Total includes all data under the MORROW, OR bucket, including data from rows not currently displayed.",36.8%
"WADENA, MN",Less than 1,52%
,? 1 and < 2,64.3%
,? 2 and < 3,72.5%
,? 3 and < 4,86.5%
,"Total: Total includes all data under the WADENA, MN bucket, including data from rows not currently displayed.",25.4%
"HARNEY, OR",Less than 1,50.9%
,? 1 and < 2,70.8%
,? 2 and < 3,77.8%
,? 3 and < 4,86.4%
,"Total: Total includes all data under the HARNEY, OR bucket, including data from rows not currently displayed.",30.1%
"CROOK, OR",Less than 1,64%
,? 1 and < 2,80.3%
,? 2 and < 3,83%
,? 3 and < 4,89.7%
,"Total: Total includes all data under the CROOK, OR bucket, including data from rows not currently displayed.",26.7%
"HOOD RIVER, OR",Less than 1,77.3%
,? 1 and < 2,89.1%
,? 2 and < 3,93.3%
,? 3 and < 4,86.8%
,"Total: Total includes all data under the HOOD RIVER, OR bucket, including data from rows not currently displayed.",27.5%
"ARAPAHOE, CO",Less than 1,78.6%
,? 1 and < 2,94.6%
,? 2 and < 3,96.3%
,? 3 and < 4,96.5%
,"Total: Total includes all data under the ARAPAHOE, CO bucket, including data from rows not currently displayed.",33.6%
"COOS, OR",Less than 1,64.9%
,? 1 and < 2,85.2%
,? 2 and < 3,91.3%
,? 3 and < 4,89.2%
,"Total: Total includes all data under the COOS, OR bucket, including data from rows not currently displayed.",33.3%
"MILLE LACS, MN",Less than 1,62.5%
,? 1 and < 2,81.1%
,? 2 and < 3,88.8%
,? 3 and < 4,90.6%
,"Total: Total includes all data under the MILLE LACS, MN bucket, including data from rows not currently displayed.",27.4%
"ROSEAU, MN",Less than 1,63%
,? 1 and < 2,87.7%
,? 2 and < 3,88.8%
,? 3 and < 4,87.8%
,"Total: Total includes all data under the ROSEAU, MN bucket, including data from rows not currently displayed.",31.1%
"UMATILLA, OR",Less than 1,72.3%
,? 1 and < 2,90.2%
,? 2 and < 3,97.4%
,? 3 and < 4,98%
,"Total: Total includes all data under the UMATILLA, OR bucket, including data from rows not currently displayed.",37.3%
"WASCO, OR",Less than 1,63.6%
,? 1 and < 2,84.1%
,? 2 and < 3,92.7%
,? 3 and < 4,85.9%
,"Total: Total includes all data under the WASCO, OR bucket, including data from rows not currently displayed.",29.5%
"ANOKA, MN",Less than 1,70.1%
,? 1 and < 2,89.7%
,? 2 and < 3,90.7%
,? 3 and < 4,92.9%
,"Total: Total includes all data under the ANOKA, MN bucket, including data from rows not currently displayed.",28.2%
"JEFFERSON, OR",Less than 1,66.3%
,? 1 and < 2,84.5%
,? 2 and < 3,91.5%
,? 3 and < 4,93.7%
,"Total: Total includes all data under the JEFFERSON, OR bucket, including data from rows not currently displayed.",29.6%
"WELD, CO",Less than 1,73.4%
,? 1 and < 2,91.2%
,? 2 and < 3,93.4%
,? 3 and < 4,94.6%
,"Total: Total includes all data under the WELD, CO bucket, including data from rows not currently displayed.",31.7%
"CHISAGO, MN",Less than 1,64.3%
,? 1 and < 2,88.5%
,? 2 and < 3,90.1%
,? 3 and < 4,94.5%
,"Total: Total includes all data under the CHISAGO, MN bucket, including data from rows not currently displayed.",27.9%
"LANE, OR",Less than 1,67%
,? 1 and < 2,87.1%
,? 2 and < 3,87.5%
,? 3 and < 4,89.9%
,"Total: Total includes all data under the LANE, OR bucket, including data from rows not currently displayed.",27%
"ADAMS, CO",Less than 1,77.2%
,? 1 and < 2,94.3%
,? 2 and < 3,93.9%
,? 3 and < 4,96.2%
,"Total: Total includes all data under the ADAMS, CO bucket, including data from rows not currently displayed.",33.3%
"CLEARWATER, MN",Less than 1,55.3%
,? 1 and < 2,76.6%
,? 2 and < 3,91.3%
