Session Title,Percentage with Immunizations: PCV and Number of Patients by County of Residence,
Session ID,2757483,
Data Model,Patients,
Population Base,All Patients,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Age in Years (Current): ? 1 and ? 4 AND State of Residence (U.S.): Colorado, Minnesota, Oregon AND (Billed Procedures: INITIAL PREVENTIVE MEDICINE NEW PT AGE 5-11 YRS 99383, INITIAL PREVENTIVE MEDICINE NEW PT AGE 1-4 YRS 99382, INITIAL PREVENTIVE MEDICINE NEW PATIENT <1YEAR 99381, PERIODIC PREVENTIVE MED EST PATIENT 5-11YRS 99393, PERIODIC PREVENTIVE MED EST PATIENT 1-4YRS 99392, PERIODIC PREVENTIVE MED ESTABLISHED PATIENT <1Y 99391 OR Encounter Type: Well Child OR Diagnosis (All): Encounter for newborn, infant and child health examinations( ICD-10-CM: Z00.1 ))",
Session Date Range,8/21/2022 - 8/20/2025,
Export User,Daniel Weinberger,
Date of Export,9/16/2025,
,,
,,
Measures,Percentage with Immunizations: PCV (%),Number of Patients
County of Residence,Percentage with Immunizations: PCV (%),Number of Patients
"SAGUACHE, CO",-,10 or fewer
"PHILLIPS, CO",-,10 or fewer
"HINSDALE, CO",-,10 or fewer
"JACKSON, CO",79.2%,24
"LA PLATA, CO",-,11
"LINCOLN, CO",89.5%,19
"PROWERS, CO",-,10 or fewer
"MONTEZUMA, CO",-,10 or fewer
"SEDGWICK, CO",-,10 or fewer
"SHERMAN, OR",80.8%,26
"PITKIN, CO",73.2%,56
"DODGE, MN",-,10 or fewer
"SUMMIT, CO",80%,50
"FREMONT, CO",63.4%,41
"SIBLEY, MN",-,10 or fewer
"GRAND, CO",83.1%,65
"YUMA, CO",-,12
"OTERO, CO",-,10 or fewer
"RICE, MN",76.7%,86
"LAKE OF THE WOODS, MN",75.3%,85
"GUNNISON, CO",75.8%,62
"UMATILLA, OR",85%,821
"GILLIAM, OR",80%,20
"MORROW, OR",85.4%,314
"OLMSTED, MN",74.4%,43
"UNION, OR",66.7%,45
"POLK, OR",77.3%,181
"JOSEPHINE, OR",64%,25
"HUERFANO, CO",-,10 or fewer
"HENNEPIN, MN",81.2%,11612
"BROOMFIELD, CO",75.4%,556
"RAMSEY, MN",80.4%,8260
"ARAPAHOE, CO",78.5%,10265
"ALAMOSA, CO",-,10 or fewer
"EAGLE, CO",71.9%,32
"KIT CARSON, CO",-,12
"ADAMS, CO",77.7%,6253
"COOS, OR",75.8%,1801
"PINE, MN",74.4%,281
"MORGAN, CO",70.6%,119
"LE SUEUR, MN",79.2%,24
"KANABEC, MN",73%,89
"CLEAR CREEK, CO",84.6%,13
"MALHEUR, OR",77.7%,727
"LOGAN, CO",62.1%,29
"CURRY, OR",73.5%,132
"BOULDER, CO",77.1%,5148
"COOK, MN",68.4%,19
"MCLEOD, MN",77.4%,31
"WELD, CO",75.6%,8069
"MONTROSE, CO",-,26
"AITKIN, MN",75.2%,307
"WABASHA, MN",74.5%,55
"ROSEAU, MN",75%,615
"LAC QUI PARLE, MN",72.7%,44
"DENVER, CO",78.5%,16191
"MOFFAT, CO",71.4%,444
"YAMHILL, OR",74.9%,859
"ISANTI, MN",70.8%,672
"MULTNOMAH, OR",77.3%,13000
"HARNEY, OR",65.5%,226
"JEFFERSON, CO",76.4%,4408
"BLUE EARTH, MN",88.9%,27
"LAS ANIMAS, CO",-,10 or fewer
"COLUMBIA, OR",75.7%,1092
"ELBERT, CO",76%,313
"ROUTT, CO",75.1%,706
"DAKOTA, MN",78.4%,3935
"EL PASO, CO",72.2%,4754
"JEFFERSON, OR",78.7%,854
"GILPIN, CO",64.3%,28
"CARLTON, MN",73.7%,784
"WASCO, OR",79%,328
"PUEBLO, CO",78.2%,225
"WASHINGTON, OR",78.6%,9919
"GARFIELD, CO",52.4%,42
"CARVER, MN",77%,113
"LINCOLN, OR",76.2%,1251
"PARK, CO",72.2%,36
"WINONA, MN",71.7%,572
"LAKE, MN",73.4%,128
