indicator,year,fips,location,age,vaccine,percent,population,percentPartiallyVaccinated,percentNonMedicalExemption,percentMedicalExemption,percentDiseaseHistory  
"Childhood immunizations","2015","27000","Minnesota","Childhood (24-35 months)","PCV","75.1","73691","null","null","null","null"
"Childhood immunizations","2016","27000","Minnesota","Childhood (24-35 months)","PCV","75.1","74776","null","null","null","null"
"Childhood immunizations","2017","27000","Minnesota","Childhood (24-35 months)","PCV","76.1","74406","null","null","null","null"
"Childhood immunizations","2018","27000","Minnesota","Childhood (24-35 months)","PCV","80.9","74717","null","null","null","null"
"Childhood immunizations","2019","27000","Minnesota","Childhood (24-35 months)","PCV","81.9","72494","null","null","null","null"
"Childhood immunizations","2020","27000","Minnesota","Childhood (24-35 months)","PCV","81.7","70871","null","null","null","null"
"Childhood immunizations","2021","27000","Minnesota","Childhood (24-35 months)","PCV","76.6","70508","null","null","null","null"
"Childhood immunizations","2022","27000","Minnesota","Childhood (24-35 months)","PCV","78.0","67912","null","null","null","null"
"Childhood immunizations","2023","27000","Minnesota","Childhood (24-35 months)","PCV","76.1","66478","null","null","null","null"
"Childhood immunizations","2015","27001","Aitkin","Childhood (24-35 months)","PCV","85.6","104","null","null","null","null"
"Childhood immunizations","2016","27001","Aitkin","Childhood (24-35 months)","PCV","85.2","88","null","null","null","null"
"Childhood immunizations","2017","27001","Aitkin","Childhood (24-35 months)","PCV","83.0","112","null","null","null","null"
"Childhood immunizations","2018","27001","Aitkin","Childhood (24-35 months)","PCV","85.5","110","null","null","null","null"
"Childhood immunizations","2019","27001","Aitkin","Childhood (24-35 months)","PCV","84.0","125","null","null","null","null"
"Childhood immunizations","2020","27001","Aitkin  ","Childhood (24-35 months)","PCV","80.5","128","null","null","null","null"
"Childhood immunizations","2021","27001","Aitkin  ","Childhood (24-35 months)","PCV","77.3","119","null","null","null","null"
"Childhood immunizations","2022","27001","Aitkin  ","Childhood (24-35 months)","PCV","78.9","109","null","null","null","null"
"Childhood immunizations","2023","27001","Aitkin  ","Childhood (24-35 months)","PCV","79.5","112","null","null","null","null"
"Childhood immunizations","2015","27003","Anoka","Childhood (24-35 months)","PCV","69.8","4352","null","null","null","null"
"Childhood immunizations","2016","27003","Anoka","Childhood (24-35 months)","PCV","70.1","4597","null","null","null","null"
"Childhood immunizations","2017","27003","Anoka","Childhood (24-35 months)","PCV","71.5","4116","null","null","null","null"
"Childhood immunizations","2018","27003","Anoka","Childhood (24-35 months)","PCV","80.7","4258","null","null","null","null"
"Childhood immunizations","2019","27003","Anoka","Childhood (24-35 months)","PCV","84.1","4134","null","null","null","null"
"Childhood immunizations","2020","27003","Anoka  ","Childhood (24-35 months)","PCV","83.4","4311","null","null","null","null"
"Childhood immunizations","2021","27003","Anoka  ","Childhood (24-35 months)","PCV","81.3","4308","null","null","null","null"
