County,Vaccine,Colorado NIS Rate,US NIS Rates,HP2020 Goals,Period,Percent Group,Up-To-Date Percent,State Rate
Prowers,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",86% - 90%,89.54,74.31024485107302
Baca,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",86% - 90%,87.69,74.31024485107302
Otero,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",81% - 85%,82.12,74.31024485107302
Montrose,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",81% - 85%,82.5,74.31024485107302
Kiowa,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",81% - 85%,84,74.31024485107302
Jefferson,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",81% - 85%,81.22,74.31024485107302
Denver,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",81% - 85%,81.82,74.31024485107302
Park,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,71.08,74.31024485107302
Las Animas,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,73.66,74.31024485107302
Larimer,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,72.38,74.31024485107302
La Plata,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,76.83,74.31024485107302
Kit Carson,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,80,74.31024485107302
Jackson,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,73.68,74.31024485107302
Fremont,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,71.47,74.31024485107302
Douglas,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,79.61,74.31024485107302
Custer,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,76.92,74.31024485107302
Costilla,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,78.05,74.31024485107302
Cheyenne,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,73.68,74.31024485107302
Bent,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,72.22,74.31024485107302
Arapahoe,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,80.99,74.31024485107302
Alamosa,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,73.82,74.31024485107302
Adams,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",71% - 80%,78.46,74.31024485107302
Weld,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,69.56,74.31024485107302
Washington,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,64.38,74.31024485107302
Summit,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,66.74,74.31024485107302
San Miguel,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,66.38,74.31024485107302
Saguache,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,67.57,74.31024485107302
Rio Grande,4+ PCV13,79.6%,82.4%,90%,"January 1, 2016 - June 30, 2016",61% - 70%,69.34,74.31024485107302
