"District","County","County Total","7-Vaccine Series","DTaP","IPV","MMR","HiB","HepB","HepB Birth","Vari","PCV","HepA","Rota"
"District 1-1 Rome","Bartow","3,043","79.4%","84.0%","93.2%","91.2%","88.6%","91.2%","84.4%","91.0%","93.7%","73.7%","75.0%"
"District 1-1 Rome","Catoosa","1,050","68.0%","75.0%","89.0%","85.4%","81.4%","85.1%","61.7%","86.5%","89.6%","65.7%","55.7%"
"District 1-1 Rome","Chattooga","684","80.4%","83.6%","92.4%","89.3%","89.6%","91.8%","84.2%","90.4%","92.8%","73.1%","74.9%"
"District 1-1 Rome","Dade","281","67.6%","73.0%","90.0%","84.3%","81.1%","90.0%","67.3%","86.8%","89.3%","62.3%","68.7%"
"District 1-1 Rome","Floyd","2,745","84.7%","87.1%","95.2%","92.8%","90.5%","93.8%","89.1%","92.9%","95.2%","79.6%","80.5%"
"District 1-1 Rome","Gordon","1,616","80.6%","85.0%","93.6%","91.1%","89.4%","92.5%","87.6%","91.9%","94.5%","73.0%","78.0%"
"District 1-1 Rome","Haralson","893","79.8%","82.6%","92.7%","90.0%","87.0%","93.5%","90.3%","91.0%","92.8%","63.6%","74.4%"
"District 1-1 Rome","Paulding","4,095","79.9%","84.9%","93.4%","90.6%","88.2%","91.9%","84.1%","90.5%","94.1%","76.1%","77.9%"
"District 1-1 Rome","Polk","1,505","82.0%","85.8%","93.5%","91.4%","90.1%","92.6%","89.3%","91.6%","94.3%","76.6%","76.7%"
"District 1-1 Rome","Walker","1,653","68.1%","74.4%","90.1%","86.4%","82.2%","87.4%","63.0%","87.8%","90.5%","66.1%","61.7%"
"District 1-2 Dalton","Cherokee","7,498","81.6%","85.7%","93.6%","90.8%","89.4%","91.4%","75.3%","90.7%","93.9%","76.5%","82.8%"
"District 1-2 Dalton","Fannin","469","65.0%","69.9%","87.8%","83.6%","81.2%","89.1%","72.1%","86.1%","89.1%","63.5%","68.0%"
"District 1-2 Dalton","Gilmer","722","76.5%","80.5%","91.7%","90.2%","88.4%","93.4%","81.4%","90.7%","91.0%","68.7%","61.8%"
"District 1-2 Dalton","Murray","995","80.3%","84.6%","94.2%","91.8%","90.4%","92.1%","85.6%","92.4%","94.2%","77.4%","78.6%"
