"District","County","Total by County","flag","7-Vaccine Series","DTaP","IPV","MMR","HiB","HepB","Var","PCV","HepA","Rota","Flu"
"District 1-1 Rome","BARTOW","1,668","*","81.8%","86.8%","94.1%","92.2%","90.2%","90.5%","92.0%","94.1%","82.3%","75.7%","26.3%"
"District 1-1 Rome","CATOOSA","639","*","79.2%","82.6%","91.9%","90.6%","88.1%","90.1%","91.2%","93.3%","77.3%","59.3%","26.9%"
"District 1-1 Rome","CHATTOOGA","314","*","83.1%","87.3%","94.3%","93.6%","93.3%","92.7%","93.9%","96.5%","83.1%","68.2%","22.6%"
"District 1-1 Rome","DADE","136","*","72.1%","77.2%","88.2%","87.5%","84.6%","87.5%","87.5%","87.5%","69.1%","70.6%","19.9%"
"District 1-1 Rome","FLOYD","1,496","","83.9%","87.9%","94.3%","92.1%","91.5%","93.0%","93.0%","95.5%","83.6%","80.3%","34.8%"
"District 1-1 Rome","GORDON","758","*","81.7%","84.7%","92.9%","91.2%","89.7%","93.4%","91.4%","94.7%","77.8%","73.5%","11.5%"
"District 1-1 Rome","HARALSON","469","*","81.7%","85.5%","94.0%","91.3%","90.8%","94.9%","91.3%","95.7%","69.7%","74.6%","9.2%"
"District 1-1 Rome","PAULDING","2,592","*","86.1%","89.7%","94.9%","94.0%","93.2%","93.0%","93.9%","95.5%","85.0%","79.8%","32.2%"
"District 1-1 Rome","POLK","727","*","85.8%","89.5%","94.4%","94.1%","93.7%","94.1%","94.4%","94.9%","84.6%","77.6%","26.3%"
"District 1-1 Rome","WALKER","716","*","76.0%","80.9%","91.6%","89.5%","87.7%","88.5%","90.6%","91.6%","77.0%","59.6%","25.0%"
"District 1-2 Dalton","CHEROKEE","3,988","","85.6%","89.8%","94.5%","93.1%","93.0%","91.8%","93.1%","94.9%","84.8%","81.9%","45.4%"
"District 1-2 Dalton","FANNIN","223","*","73.5%","78.0%","91.0%","88.8%","85.7%","90.1%","91.0%","89.2%","70.0%","74.0%","18.8%"
"District 1-2 Dalton","GILMER","395","","79.5%","85.1%","93.4%","91.6%","94.2%","93.9%","93.7%","92.9%","77.5%","64.8%","35.7%"
"District 1-2 Dalton","MURRAY","596","","85.7%","89.8%","96.1%","94.5%","95.0%","94.5%","95.3%","96.3%","85.1%","76.3%","30.5%"
"District 1-2 Dalton","PICKENS","375","*","77.3%","81.3%","89.6%","92.3%","86.1%","91.7%","91.7%","90.9%","73.9%","71.7%","21.3%"
"District 1-2 Dalton","WHITFIELD","1,595","","86.5%","90.8%","96.1%","95.7%","94.7%","93.5%","95.7%","96.6%","88.3%","80.2%","37.5%"
"District 10 Athens","BARROW","1,577","","84.0%","87.6%","94.3%","91.7%","91.4%","92.6%","92.4%","94.9%","82.6%","80.0%","38.0%"
"District 10 Athens","CLARKE","1,871","","85.0%","87.1%","93.9%","92.2%","90.6%","93.5%","92.5%","94.6%","81.9%","76.3%","49.0%"
"District 10 Athens","ELBERT","285","","82.5%","85.3%","89.1%","93.0%","93.0%","94.0%","94.4%","93.0%","79.3%","66.7%","27.7%"
